DateTime,AddedIPs,RemovedIPs
1556955747,3,6
1556957383,11,4
1556958939,8,7
1556960140,13,3
1556961343,15,10
1556962963,30,10
1556963795,12,3
1556964907,15,5
1556966429,12,2
1556967942,7,7
1556969448,6,4
1556970573,6,4
1556971734,7,3
1556972077,2,2
1556973644,6,3
1556975130,2,27
1556975671,3,0
1556977240,10,35
1556979034,10,29
1556980524,9,18
1556980960,2,3
1556982354,9,14
1556983519,9,1
1556984734,8,15
1556986237,5,13
1556987459,3,8
1556989294,11,15
1556990072,6,1
1556991749,10,19
1556992584,4,5
1556993745,9,15
1556995355,23,17
1556996641,19,8
1556998113,18,3
1556998951,14,6
1557000882,22,8
1557002446,15,11
1557003383,3,4
1557004536,5,16
1557006166,11,19
1557007842,5,14
1557008081,0,1
1557009238,7,9
1557011131,4,14
1557011682,5,2
1557013381,10,17
1557014186,3,3
1557015266,6,9
1557016119,8,2
1557018350,11,27
1557018867,1,4
1557020568,5,19
1557021400,3,2
1557022498,8,12
1557024188,4,21
1557025546,5,13
1557026064,4,0
1557027766,7,33
1557028605,5,7
1557029683,6,19
1557031385,10,43
1557032188,2,2
1557033350,8,16
1557034109,5,2
1557036591,11,34
1557038150,8,18
1557039395,8,12
1557040506,4,15
1557042172,7,13
1557043336,8,17
1557044106,4,6
1557044906,5,0
1557046547,8,13
1557047682,3,16
1557049000,4,16
1557050192,5,2
1557051337,6,11
1557052526,8,18
1557054265,7,10
1557054877,4,6
1557056548,12,21
1557057913,6,19
1557058479,3,2
1557059725,5,16
1557061529,4,19
1557062914,8,2
1557064736,6,15
1557065937,4,7
1557067143,9,7
1557068749,11,6
1557069263,4,2
1557070128,3,1
1557072229,7,20
1557072878,2,3
1557074562,10,21
1557075385,6,5
1557076537,8,10
1557077310,7,7
1557078518,7,14
1557079809,3,17
1557080916,9,5
1557081751,7,15
1557083671,8,11
1557084852,8,13
1557086164,7,4
1557088129,7,16
1557089803,12,12
1557090955,7,7
1557092434,3,16
1557094474,16,6
1557096152,9,10
1557097534,7,10
1557098916,7,0
1557100234,3,8
1557101686,11,7
1557103379,13,11
1557104186,6,2
1557105276,3,2
1557106126,16,2
1557108638,10,16
1557108886,9,2
1557110556,16,27
1557111942,11,7
1557113309,9,8
1557114167,8,7
1557115840,14,8
1557117078,6,11
1557117783,9,2
1557119144,8,8
1557120527,5,2
1557121356,12,5
1557123047,7,5
1557124423,15,5
1557125532,5,3
1557126887,8,7
1557127721,13,2
1557128554,26,8
1557130236,10,10
1557131308,9,4
1557132154,3,37
1557133005,3,1
1557134081,4,23
1557134908,6,0
1557136585,7,23
1557137736,11,7
1557139357,22,8
1557140734,28,11
1557141926,15,2
1557142958,20,5
1557144535,11,4
1557145657,4,3
1557147939,27,16
1557149308,5,3
1557150615,13,6
1557151834,13,6
1557153063,26,14
1557154226,25,4
1557155440,12,9
1557156520,13,4
1557157354,11,2
1557159286,13,14
1557160114,10,0
1557160951,9,4
1557162879,18,8
1557163706,7,4
1557165003,19,21
1557166485,16,21
1557168172,18,30
1557168985,9,4
1557170142,10,26
1557171754,21,26
1557173247,18,8
1557173665,9,4
1557174522,9,5
1557175641,22,4
1557176861,9,10
1557178233,13,9
1557179426,15,4
1557180886,16,9
1557182141,14,11
1557183583,12,10
1557192325,7,33
1557200693,76,30
1557204838,19,14
1557206009,4,5
1557208525,9,10
1557211128,15,3
1557213033,27,6
1557214612,31,4
1557217664,42,18
1557218911,20,5
1557220241,15,8
1557222786,31,10
1557224914,30,7
1557226212,21,15
1557228368,32,6
1557229720,20,2
1557231210,19,10
1557233297,30,4
1557235077,29,5
1557236290,14,1
1557238247,39,9
1557240244,31,6
1557241893,14,9
1557243845,19,19
1557247246,32,3
1557248990,9,15
1557250167,11,0
1557252623,25,12
1557256216,31,6
1557257803,18,6
1557259712,8,4
1557262319,13,14
1557263731,5,1
1557265398,8,14
1557267309,10,1
1557269437,13,17
1557272619,15,18
1557274238,5,4
1557275848,7,3
1557277210,9,10
1557280014,9,9
1557283484,19,23
1557286394,24,0
1557287567,10,10
1557289634,12,5
1557290906,23,9
1557292241,9,21
1557293481,13,2
1557295530,7,16
1557296907,12,2
1557298188,13,15
1557301508,24,18
1557303162,11,4
1557304609,12,0
1557307097,15,10
1557309344,12,4
1557311193,8,19
1557312411,5,38
1557315657,13,5
1557317624,11,9
1557319231,6,9
1557321461,8,16
1557322964,5,36
1557324956,26,13
1557326690,19,15
1557328276,8,10
1557330563,21,1
1557332121,8,6
1557334561,9,34
1557336690,12,1
1557338093,4,7
1557341787,16,44
1557343979,18,6
1557345444,9,23
1557346597,11,13
1557348229,2,18
1557349901,4,11
1557357415,15,22
1557366238,36,5
1557370708,18,36
1557371909,7,36
1557373343,5,16
1557374866,13,3
1557376161,11,0
1557378954,21,11
1557380226,11,1
1557382423,22,6
1557384403,19,14
1557385760,19,16
1557388794,21,37
1557390097,11,40
1557391870,7,0
1557393851,13,22
1557395315,9,53
1557397566,12,18
1557399421,6,37
1557402236,16,54
1557403730,6,0
1557405513,11,4
1557407375,15,61
1557409450,12,4
1557411353,25,52
1557413420,17,30
1557415085,16,58
1557416222,16,3
1557417537,10,1
1557419016,21,25
1557420233,4,74
1557421777,13,1
1557425707,26,74
1557427955,24,18
1557429524,14,15
1557432015,23,23
1557435603,38,19
1557437812,18,7
1557439185,10,1
1557442316,26,31
1557444073,10,8
1557447423,10,18
1557449043,6,12
1557451198,16,4
1557452559,5,0
1557454209,10,27
1557455601,20,2
1557460373,27,35
1557461657,7,15
1557463026,7,1
1557464324,9,1
1557465890,7,18
1557468942,12,30
1557470718,15,14
1557472061,5,0
1557476164,36,40
1557477547,6,2
1557478740,9,1
1557480011,10,10
1557481329,3,6
1557484116,12,8
1557485487,8,17
1557487688,12,2
1557490627,20,16
1557492277,11,9
1557494077,10,11
1557497197,21,40
1557498518,12,1
1557499879,12,15
1557501767,13,14
1557503234,9,3
1557505979,24,7
1557509771,20,21
1557511759,14,18
1557513321,13,6
1557515049,16,15
1557516600,12,0
1557519844,16,16
1557521472,11,8
1557523266,9,2
1557525086,8,8
1557526418,12,0
1557530794,30,2
1557533545,14,28
1557535555,7,7
1557537235,7,5
1557540644,14,2
1557541940,4,3
1557545134,16,21
1557546821,16,9
1557548213,5,5
1557551235,14,13
1557556369,27,18
1557557516,4,28
1557562760,65,25
1557565623,38,2
1557568384,21,23
1557570149,14,17
1557572326,12,13
1557574032,13,6
1557576477,17,11
1557582188,63,22
1557585976,49,30
1557587802,18,34
1557589384,16,22
1557591229,13,8
1557593089,6,8
1557597659,28,25
1557602176,23,18
1557605718,19,50
1557607622,14,24
1557609717,7,4
1557611652,11,0
1557614721,12,31
1557616237,13,20
1557626294,52,32
1557628591,12,18
1557630305,9,21
1557632222,8,0
1557635989,26,16
1557640582,33,27
1557647812,45,36
1557649296,15,1
1557651633,14,9
1557652851,3,10
1557654528,8,4
1557655872,9,23
1557657354,9,0
1557659085,5,15
1557660419,7,2
1557662329,3,2
1557664631,6,11
1557666806,12,24
1557668662,4,14
1557671729,24,9
1557673785,13,16
1557675922,16,2
1557677862,9,18
1557679074,6,4
1557681565,16,31
1557687813,27,25
1557689387,13,10
1557690585,7,13
1557691755,16,23
1557698617,28,38
1557701061,11,4
1557707345,28,35
1557710986,19,23
1557714918,26,21
1557716381,6,15
1557718574,6,2
1557720232,7,14
1557722175,9,1
1557727198,19,38
1557728719,15,1
1557730737,15,29
1557732015,9,9
1557735636,11,4
1557738595,7,35
1557740180,5,2
1557742247,6,20
1557743799,1,1
1557746065,6,17
1557747334,5,1
1557748475,4,4
1557750202,6,17
1557751654,3,17
1557753136,4,15
1557754604,7,1
1557755804,4,19
1557757584,4,0
1557761510,23,34
1557762915,5,20
1557764999,3,7
1557766583,9,9
1557768013,2,5
1557772680,24,7
1557773999,8,16
1557776767,11,38
1557778959,8,10
1557782528,6,8
1557785159,10,9
1557787443,10,39
1557790268,6,13
1557792511,1,13
1557794878,9,16
1557797042,8,13
1557801971,13,60
1557803707,7,0
1557805058,3,1
1557806969,6,58
1557808564,5,1
1557809899,7,1
1557813520,16,55
1557814679,5,6
1557815896,3,1
1557817406,4,27
1557820134,13,4
1557821286,3,6
1557822960,8,18
1557824713,8,24
